gid,designation,nature_site,position,jour_ouverture,heure_ouverture,heure_fermeture,adresse,code_quartier,libelle_quartier,commune,geo_shape
4,Piscine Jules Verne,Domaine public,Infirmerie,du lundi au dimanche,,,rue Jules Grangjouan,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5174553008789473, 47.24827524934374], 'type': 'Point'}, 'properties': {}}"
50,Salle festive Nantes Erdre,Domaine public,Dans le couloir menant aux toilettes sur la droite,HORAIRES VARIABLES ( SUR RÉSERVATION ),VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,251 route de Saint Joseph,11.0,Nantes Erdre,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5313168995191142, 47.25412483961306], 'type': 'Point'}, 'properties': {}}"
57,Plaine de jeux des Dervallières,Domaine public,Dans le couloir d'accès au stade,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,rue des Dervallières,2.0,Dervallières - Zola,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5913021025436522, 47.22593255016381], 'type': 'Point'}, 'properties': {}}"
150,piscine municipale de Bouguenais,Domaine public,Piscine municipale,,,,chemin Jacques Prévert,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6216664177640245, 47.17152081737874], 'type': 'Point'}, 'properties': {}}"
154,Mairie annexe Bouguenais,Domaine public,Mairie annexe,,,,2 rue Célestin Freinet,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.588964882974491, 47.18126775879275], 'type': 'Point'}, 'properties': {}}"
13,Médiathèque Floresca Guépin,Domaine public,Devant la banque de prêts et à coté de l'armoire électrique,du mardi au samedi - Horaires d'été du 16/07 au 1/09,"10:00,13:00","17:00,18:00,19:00",15 rue de la Haluchère,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5127688312233698, 47.24086628440315], 'type': 'Point'}, 'properties': {}}"
38,Stade Espérance St Yves de Nantes,Domaine privé,Local d'accueil,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,15 rue Marange Sylvange,10.0,Bellevue - Chantenay - Sainte Anne,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6112498664567592, 47.201859685512574], 'type': 'Point'}, 'properties': {}}"
115,Jardin des plantes,Domaine public,"EXTÉRIEUR , sur le mur pignon du bâtiment d'accueil -",Du 15/01 au 19/03,08:30,18:30,place Charles-Leroux,7.0,Malakoff - Saint-Donatien,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.544041004729128, 47.220922088629834], 'type': 'Point'}, 'properties': {}}"
139,Plaine de jeux des Bernardières,Domaine public,Local médical,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,impasse de la Bernardière,10.0,Bellevue - Chantenay - Sainte Anne,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6147541958806824, 47.20099198151055], 'type': 'Point'}, 'properties': {}}"
148,gymnase de la Neustrie,Domaine public,Gymnase de la Neustrie,,,,chemin de la Neustrie,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.591663406356079, 47.176254473287244], 'type': 'Point'}, 'properties': {}}"
152,Maison de quartier de la Grande Ouche,Domaine public,Maison de quartier de la Grande Ouche,,,,9 rue de la Grande Ouche,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5799600070123982, 47.18054977913927], 'type': 'Point'}, 'properties': {}}"
3,Piscine Léo Lagrange,Domaine public,Infirmerie,Période scolaire du lundi au dimanche - Horaires d'été du 2/07 au 26/08,,,rue deurbroucq,5.0,Centre Ville,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5600533468890578, 47.20987997232068], 'type': 'Point'}, 'properties': {}}"
15,Musée Jules Verne,Domaine public,Dans le hall d'accueil,"Lundi, Mercredi, Jeudi, Vendredi, Samedi, Dimanche",14:00,18:00,3 rue de l'Hermitage,10.0,Bellevue - Chantenay - Sainte Anne,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5774115830552289, 47.20160886288439], 'type': 'Point'}, 'properties': {}}"
17,Le Planétarium,Domaine public,Hall d'accueil à gauche  en entrant,"Lundi, mardi, mercredi, jeudi, vendredi",10:00,12:00,8 rue des Acadiens,10.0,Bellevue - Chantenay - Sainte Anne,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.57752413976712, 47.20224453501307], 'type': 'Point'}, 'properties': {}}"
25,Stade Pascal Laporte,Domaine public,Sur le mur de la brasserie,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,74 bd des Anglais,1722.0,Bourg,St-Herblain,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6379009112506904, 47.21637302029975], 'type': 'Point'}, 'properties': {}}"
47,Espace Cosmopolis,Domaine public,Dans le hall d'entrée à gauche,Lundi au Dimanche,14:00,18:00,6 rue lekain,5.0,Centre Ville,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.562699175959707, 47.21444703953254], 'type': 'Point'}, 'properties': {}}"
62,Salles municipales La Manu,Domaine public,Hall d'accueil à droite en entrant,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,10 bis Boulevard de Stalingrad,7.0,Malakoff - Saint-Donatien,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5353775390449014, 47.21940305213941], 'type': 'Point'}, 'properties': {}}"
63,Stade de l'Amande,Domaine public,"Après l'entrée , à droite dans le couloir",VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,112 route de la Chapelle sur Erdre,1.0,Nantes Nord,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5741799999846762, 47.26247893464454], 'type': 'Point'}, 'properties': {}}"
68,Piscine Petite Amazonie,Domaine public,Infirmerie,"Réouverture envisagée le 17/11/2018, sous réserve de l'achèvement des travaux",fermeture,fermeture,15 rue du Pont de l'Arche de Mauves,7.0,Malakoff - Saint-Donatien,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5317220166228942, 47.21638244402217], 'type': 'Point'}, 'properties': {}}"
73,Centre  Sportif du Croissant,Domaine public,Hall d'entrée à droite,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,29 rue du Croissant,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5228633197197667, 47.235052889140974], 'type': 'Point'}, 'properties': {}}"
107,Complexe sportif Saint Joseph de Porterie,Domaine public,Dans le couloir à gauche de l'entrée del'équipement,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,507 route de Saint Joseph,11.0,Nantes Erdre,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5168016876249206, 47.27206521670096], 'type': 'Point'}, 'properties': {}}"
153,complexe sportif de la Croix-Jeannette,Domaine public,Salle des Samouraïs,,,,allée Jacques Prévert,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.621929455058586, 47.170904189259], 'type': 'Point'}, 'properties': {}}"
1,Médiathèque Jacques Demy,Domaine public,PC Sécurité,"lundi,mardi,mercredi,jeudi,vendredi,samedi","10:00,12:00,13:00","18:00,19:00",24 quai de la Fosse,5.0,Centre Ville,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5620957397545827, 47.21106285763656], 'type': 'Point'}, 'properties': {}}"
6,Médiathèque Luce Courville,Domaine public,"Dans le hall d'accueil , face à la banque de prêt","mardi,jeudi,vendredi,samedi - Horaires d'été du 16/07 au 1/09","10:00,13:30","18:00,19:00",1 rue Eugène Thomas,1.0,Nantes Nord,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5739598004206543, 47.261819896245726], 'type': 'Point'}, 'properties': {}}"
9,Parc du Grand Blottereau,Domaine public,"EXTÉRIEUR , sur le mur pignon du Gymnase",Toute l'année,08:45,"17:00,18:00,19:00",Boulevard Auguste Péneau,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5124113733286688, 47.22817899439621], 'type': 'Point'}, 'properties': {}}"
23,Stade Pin Sec,Domaine public,Dans le local du gardein,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,19 rue pierre bouguer,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5200550341192323, 47.24195581540431], 'type': 'Point'}, 'properties': {}}"
60,Maison de l'Erdre,Domaine public,Sur la gauche - dans le couloir prolongeant le hall d'accueil,"Mercredi, samedi, dimanche et jours fériés",14:15,18:15,Quai Henri Barbusse,3.0,Hauts Pavés - Saint Félix,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.55424804448822, 47.22620728151193], 'type': 'Point'}, 'properties': {}}"
140,Chapelle de l'Oratoire,Domaine public,Au bureau d'accueil sur la gauche en entrant,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,place de l'Oratoire,7.0,Malakoff - Saint-Donatien,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5485869676492572, 47.21907569582123], 'type': 'Point'}, 'properties': {}}"
147,stade des Landes,Domaine public,Stade des Landes,,,,rue Jean-Baptiste Clément,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5858091723943069, 47.1756526554581], 'type': 'Point'}, 'properties': {}}"
149,site naturel de loisirs Roche Ballue,Domaine public,Site naturel de loisirs Roche Ballue,,,,rue de la Guérinière,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6544108413159142, 47.18423867111931], 'type': 'Point'}, 'properties': {}}"
2,Plaine de Jeux Durantière,Domaine public,Dans le local du gardien,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,70 rue de la Durantière,2.0,Dervallières - Zola,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6002959607518943, 47.21249349766798], 'type': 'Point'}, 'properties': {}}"
8,Conservatoire de Nantes,Domaine public,Dans le hall d'entrée - contre un poteau,En période scolaire du lundi au Vendredi,08:30,22:00,4 rue Gaétan Rondeau,9.0,Ile de Nantes,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5327556122522472, 47.20745813326854], 'type': 'Point'}, 'properties': {}}"
41,Plaine de jeux des Basses landes,Domaine public,Dans le local gardien à coté de l'entrée,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,6 chemin de la Justice,1.0,Nantes Nord,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5872747051557847, 47.267654555522206], 'type': 'Point'}, 'properties': {}}"
93,Mairie centrale,Domaine public,Dans le hall d'accueil,"Lundi , Mardi , Mercredi , Jeudi , Vendredi",08:30,18:00,29 rue de Strasbourg,5.0,Centre Ville,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5537421509628042, 47.218703682879365], 'type': 'Point'}, 'properties': {}}"
125,Plaine de jeux de la Noé Lambert,Domaine public,dans le couloir sur la gauche de l'entrée principale,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,21 route de Sainte Luce,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5274637030464175, 47.23063868672779], 'type': 'Point'}, 'properties': {}}"
142,Stade Jean-Jacques Audubon  Audubon,Domaine public,EXTÉRIEUR  contre le mur du bâtiment,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,45 rue Jean-Jacques Audubon,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5038730075280724, 47.23964078189262], 'type': 'Point'}, 'properties': {}}"
5,Piscine Durantière,Domaine public,Infirmerie,"En période scolaire : lundi,mercredi,samedi,dimanche - Pendant les vacances du 2/07 au 2/09/2018",,,11 rue de la Durantière,2.0,Dervallières - Zola,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5987433840551812, 47.21277169497089], 'type': 'Point'}, 'properties': {}}"
76,Plaine de jeux de Sèvres,Domaine public,Dans le local du gardein,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,Rue de l' Olivraie,8.0,Nantes Sud,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.53124487661881, 47.18509107654501], 'type': 'Point'}, 'properties': {}}"
108,Stade du RACC,Domaine privé,Dans le local d'accueil,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,11 rue de la Rivière,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5002614924797122, 47.23188033530743], 'type': 'Point'}, 'properties': {}}"
124,Complexe sportif de la Durantière,Domaine public,Dans le couloir à gauche de l'entrée del'équipement,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,68 rue de la Durantière,2.0,Dervallières - Zola,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6052713140970636, 47.21399876256724], 'type': 'Point'}, 'properties': {}}"
151,centre accueil de loisirs Ville au Denis,Domaine public,Centre accueil de loisirs Ville au Denis,,,,allée des soupirs,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6228950254548324, 47.15531098724663], 'type': 'Point'}, 'properties': {}}"
42,Complexe sportif Mangin Beaulieu,Domaine public,Couloir central entre le vestiaire 3 et les toilettes femmes,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,2 rue Louis Joxe,9.0,Ile de Nantes,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.542365758795455, 47.20455915339852], 'type': 'Point'}, 'properties': {}}"
135,Marché de Talensac,Domaine public,contre un mur- partie centrale du bâtiment .,"Mardi, mercredi, jeudi, vendredi, samedi, dimanche",07:00,13:00,Rue de Talensac,3.0,Hauts Pavés - Saint Félix,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.557975650850388, 47.221289797175345], 'type': 'Point'}, 'properties': {}}"
75,Muséum d'Histoire Naturelle,Domaine privé,Accueil du Muséum - coté du square Louis Bureau et des toilettes publiques,Tous les jours en été,10:00,19:00,12 rue Voltaire,5.0,Centre Ville,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5650253473228866, 47.2128101350378], 'type': 'Point'}, 'properties': {}}"
105,Plaine de jeux de l'Eraudière,Domaine public,Dans le local du gardien,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,11 Rue du Stade de la Noue,11.0,Nantes Erdre,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5353763829583176, 47.247341761143446], 'type': 'Point'}, 'properties': {}}"
132,"Stade Joseph Geoffroy ""le vivier""",Domaine privé,Dans le local d'accueil,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,25 Rue du Port Boyer,11.0,Nantes Erdre,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5334198297389172, 47.24040928296009], 'type': 'Point'}, 'properties': {}}"
133,CCAS de Nantes,Domaine public,Dans un local derrière l'accueil,Lundi au Vendredi,08:30,17:30,Place Saint Similien,5.0,Centre Ville,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5584579402953105, 47.21974234347421], 'type': 'Point'}, 'properties': {}}"
136,Palais de sports de Beaulieu,Domaine public,"Couloir d'accès aux salles sportives , face au hall d'entrée",VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,7-9 rue André Tardieu,9.0,Ile de Nantes,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5367642548285665, 47.20952112667834], 'type': 'Point'}, 'properties': {}}"
137,Salle festive Nantes Nord,Domaine public,A l'entrée principale - sur la droite .,HORAIRES VARIABLES  (SUR RÉSERVATION),VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,73 avenue du Bout des Landes,1.0,Nantes Nord,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5808427863676782, 47.26366694563516], 'type': 'Point'}, 'properties': {}}"
155,gymnase des Bélians,Domaine public,Gymnase des Bélians,,,,3 rue Ginsheim-Gustavsburg,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6050366802900564, 47.173150933952996], 'type': 'Point'}, 'properties': {}}"
156,Piano'cktail,Domaine public,Piano'cktail,,,,1 rue Ginsheim-Gustavsburg,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6066030895642918, 47.17394225076131], 'type': 'Point'}, 'properties': {}}"
